ssh://seonbinara@acsys11.yonsei.ac.kr:22/usr/bin/python3 -u /tmp/pycharm_project_299/default_learnings/fuit_360_resnet_test.py
LEARNING STARTS! (model: normalCNN)
total data is  67692
there will be about  67 steps
STEP [ 0 / 67 ] LOSS:  0.05640730634331703
STEP [ 10 / 67 ] LOSS:  0.031719110906124115
STEP [ 20 / 67 ] LOSS:  0.033028826117515564
STEP [ 30 / 67 ] LOSS:  0.023250611498951912
STEP [ 40 / 67 ] LOSS:  0.029211819171905518
STEP [ 50 / 67 ] LOSS:  0.024480175226926804
STEP [ 60 / 67 ] LOSS:  0.041269153356552124
[EPOCH:    1] COST = 0.0356437266
EPOCH 1  ACCURACY: 0.9405412552891397
IMPROVEMENT WAS THERE. SAVE CKPT...
STEP [ 0 / 67 ] LOSS:  0.018425852060317993
STEP [ 10 / 67 ] LOSS:  0.043232087045907974
STEP [ 20 / 67 ] LOSS:  0.023739470168948174
STEP [ 30 / 67 ] LOSS:  0.03711150586605072
STEP [ 40 / 67 ] LOSS:  0.026584047824144363
STEP [ 50 / 67 ] LOSS:  0.03112766705453396
STEP [ 60 / 67 ] LOSS:  0.03976765275001526
[EPOCH:    2] COST = 0.0282284562
EPOCH 2  ACCURACY: 0.939218970380818
STEP [ 0 / 67 ] LOSS:  0.01583484187722206
STEP [ 10 / 67 ] LOSS:  0.030840912833809853
STEP [ 20 / 67 ] LOSS:  0.024334022775292397
STEP [ 30 / 67 ] LOSS:  0.02288474701344967
STEP [ 40 / 67 ] LOSS:  0.013372442685067654
STEP [ 50 / 67 ] LOSS:  0.03141093626618385
STEP [ 60 / 67 ] LOSS:  0.03000614419579506
[EPOCH:    3] COST = 0.0222744625
EPOCH 3  ACCURACY: 0.9397919605077574
STEP [ 0 / 67 ] LOSS:  0.04643434286117554
STEP [ 10 / 67 ] LOSS:  0.03932216763496399
STEP [ 20 / 67 ] LOSS:  0.02106364816427231
STEP [ 30 / 67 ] LOSS:  0.01678285375237465
STEP [ 40 / 67 ] LOSS:  0.02006296068429947
STEP [ 50 / 67 ] LOSS:  0.024245833978056908
STEP [ 60 / 67 ] LOSS:  0.015983253717422485
[EPOCH:    4] COST = 0.0233498197
EPOCH 4  ACCURACY: 0.9426569111424542
IMPROVEMENT WAS THERE. SAVE CKPT...
STEP [ 0 / 67 ] LOSS:  0.01794101484119892
STEP [ 10 / 67 ] LOSS:  0.027629714459180832
STEP [ 20 / 67 ] LOSS:  0.029081471264362335
STEP [ 30 / 67 ] LOSS:  0.01056941319257021
STEP [ 40 / 67 ] LOSS:  0.025179250165820122
STEP [ 50 / 67 ] LOSS:  0.02904379367828369
STEP [ 60 / 67 ] LOSS:  0.014295803382992744
[EPOCH:    5] COST = 0.0221843086
EPOCH 5  ACCURACY: 0.9405853314527504
STEP [ 0 / 67 ] LOSS:  0.028229575604200363
STEP [ 10 / 67 ] LOSS:  0.02668045461177826
STEP [ 20 / 67 ] LOSS:  0.010047000832855701
STEP [ 30 / 67 ] LOSS:  0.01554426271468401
